column,y2023,y2024,y2025,in_all_years,timing,a_j,rationale
"Крайнон 8% гель ваг. 90мг/доза, 1 апплик. 1,125г  (прогестерон)",,,✓,,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
ЛГ  триггер,✓,✓,✓,✓,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
ЛГ старт,✓,✓,✓,✓,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
"Лензетто 1,53 мг/доза №56 доза спрей (эстрадиол)",,,✓,,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
Прогестерон триггер,✓,✓,✓,✓,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
ТФС в день триггера,✓,✓,✓,✓,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
Эстрадиол триггер,✓,✓,✓,✓,after_stimulation,0,известно только после начала стимуляции (утечка для прогноза до неё)
АМГ,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Бесплодие,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Вес жены,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Вес мужа,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Возраст мужа,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Год рождения,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
ДИАГНОЗ У НОВОРОЖДЕННОГО,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Диагноз бесплодия 1,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Диагноз бесплодия 2,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Диагноз бесплодия 3,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Диагноз гистеро,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
ИМТ жены,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
ИМТ мужа,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Номер попытки,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Оерации/Лапаротомия (бесплодие),✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Операции/Лапароския (бесплодие),✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Операции/Лапароскопия (бесплодие),,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Операции/Лапаротомия (бесплодие),,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Продолж-ть бесплодия/ лет,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Рост жены,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Рост мужа,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Сопут. диагнозы гистеро 1,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Сопут. диагнозы гистеро 2,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Сопут. диагнозы гистеро 3,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
